Gênero,Ano,Duração,Diretor,Classificação,Idioma,Elenco,Restrição de Idade,Usuário Gosta
Thriller,1998,163,Woody Allen,2.3,Hindi,13,12+,Não
Animação,1973,172,Alfred Hitchcock,3.4,Hindi,5,16+,Não
Animação,1987,161,Ridley Scott,3.5,Espanhol,20,16+,Não
Fantasia,1939,122,Alfred Hitchcock,1.0,Japonês,3,18+,Não
Drama,2017,72,Orson Welles,9.1,Russo,1,Livre,Sim
Drama,1934,74,Francis Ford Coppola,5.6,Espanhol,13,18+,Não
Ação,2014,172,Alfred Hitchcock,3.6,Russo,9,Livre,Sim
Terror,2004,75,Ridley Scott,8.5,Inglês,13,16+,Não
Documentário,2015,172,Steven Spielberg,5.4,Italiano,11,14+,Não
Thriller,1957,160,Ridley Scott,7.2,Mandarim,10,10+,Sim
Drama,1978,108,Ridley Scott,1.9,Francês,16,14+,Não
Documentário,1997,126,Woody Allen,7.1,Espanhol,9,Livre,Sim
Ação,1971,149,Martin Scorsese,3.0,Italiano,2,10+,Sim
Terror,2023,78,Ridley Scott,5.5,Espanhol,11,16+,Não
Romance,1972,95,Stanley Kubrick,5.0,Espanhol,14,14+,Não
Drama,1957,66,Quentin Tarantino,4.8,Hindi,9,10+,Sim
Terror,1950,78,Stanley Kubrick,8.5,Japonês,10,12+,Não
Comédia,1974,83,Woody Allen,8.3,Mandarim,9,18+,Não
Ficção Científica,1925,133,Christopher Nolan,3.3,Espanhol,17,Livre,Sim
Documentário,1959,104,Quentin Tarantino,8.8,Espanhol,20,12+,Sim
Ação,1989,132,Alfred Hitchcock,3.3,Italiano,17,14+,Não
Fantasia,1983,127,Stanley Kubrick,7.2,Alemão,10,12+,Não
Terror,1921,129,Francis Ford Coppola,9.9,Mandarim,2,10+,Sim
Drama,1945,141,Francis Ford Coppola,8.2,Alemão,5,16+,Não
Fantasia,2013,94,Stanley Kubrick,9.3,Francês,10,Livre,Sim
Terror,1958,169,Francis Ford Coppola,3.6,Japonês,15,14+,Não
Ficção Científica,1937,62,Christopher Nolan,3.9,Francês,10,14+,Sim
Fantasia,1993,143,Martin Scorsese,4.3,Inglês,20,10+,Sim
Drama,2001,93,Ridley Scott,8.8,Português,4,16+,Não
Ficção Científica,1949,61,Woody Allen,7.1,Hindi,18,10+,Sim
Fantasia,2008,144,Ridley Scott,5.6,Português,10,16+,Não
Ficção Científica,1985,88,Steven Spielberg,5.2,Inglês,18,16+,Não
Romance,2017,94,Christopher Nolan,6.7,Mandarim,4,10+,Sim
Ação,1961,136,Martin Scorsese,6.9,Hindi,1,12+,Não
Thriller,1933,153,Steven Spielberg,8.9,Alemão,2,14+,Não
Thriller,1948,130,Martin Scorsese,1.7,Mandarim,5,Livre,Sim
Drama,1924,63,Francis Ford Coppola,3.8,Mandarim,2,10+,Sim
Fantasia,1966,144,Stanley Kubrick,9.0,Hindi,19,16+,Não
Ficção Científica,1931,92,Francis Ford Coppola,4.0,Japonês,9,14+,Não
Animação,1976,144,Ridley Scott,6.4,Russo,8,10+,Sim
Ficção Científica,2020,139,Francis Ford Coppola,8.8,Alemão,18,10+,Sim
Romance,1988,165,Ridley Scott,9.0,Espanhol,14,12+,Não
Ação,1949,92,Steven Spielberg,3.5,Francês,14,10+,Sim
Ficção Científica,2016,167,Woody Allen,3.9,Espanhol,3,12+,Não
Animação,1951,147,Quentin Tarantino,7.2,Alemão,16,10+,Sim
Animação,1937,86,Stanley Kubrick,8.1,Hindi,15,18+,Não
Animação,1925,126,Martin Scorsese,6.3,Italiano,10,18+,Não
Comédia,1984,154,Ridley Scott,3.3,Inglês,19,14+,Não
Documentário,1987,172,Woody Allen,9.9,Alemão,11,12+,Não
Drama,1945,158,Orson Welles,9.7,Russo,19,14+,Não
Comédia,1995,74,Quentin Tarantino,4.5,Português,18,14+,Sim
Ficção Científica,1939,174,Martin Scorsese,9.1,Inglês,18,18+,Sim
Thriller,1921,161,Woody Allen,2.6,Francês,7,16+,Não
Animação,1991,147,Steven Spielberg,6.7,Espanhol,6,10+,Sim
Terror,2021,131,Ridley Scott,6.8,Francês,13,12+,Não
Comédia,1996,97,Christopher Nolan,7.9,Alemão,6,12+,Sim
Comédia,2019,116,Stanley Kubrick,2.1,Japonês,5,12+,Não
Thriller,1935,125,Steven Spielberg,1.9,Russo,3,Livre,Sim
Thriller,1926,111,Christopher Nolan,5.3,Inglês,6,12+,Sim
Ação,2011,93,Woody Allen,6.1,Mandarim,14,10+,Sim
Fantasia,1985,160,Ridley Scott,5.6,Japonês,14,10+,Sim
Comédia,1998,115,Steven Spielberg,9.2,Hindi,11,14+,Não
Ação,1984,129,Woody Allen,5.4,Mandarim,9,14+,Não
Drama,2023,79,Ridley Scott,2.4,Inglês,14,10+,Sim
Thriller,1926,177,Alfred Hitchcock,6.1,Hindi,4,Livre,Sim
Animação,1953,177,Stanley Kubrick,9.3,Francês,16,14+,Não
Fantasia,1978,75,Martin Scorsese,3.1,Japonês,12,Livre,Sim
Comédia,2009,92,Martin Scorsese,3.0,Alemão,12,18+,Não
Romance,1984,166,Woody Allen,5.8,Português,16,12+,Não
Drama,1974,167,Alfred Hitchcock,9.8,Espanhol,19,10+,Sim
Drama,1952,130,Ridley Scott,4.2,Russo,6,14+,Não
Animação,1966,159,Stanley Kubrick,9.8,Espanhol,15,12+,Não
Terror,1995,75,Ridley Scott,6.6,Português,17,10+,Sim
Documentário,2006,118,Ridley Scott,10.0,Russo,18,14+,Não
Romance,1923,151,Quentin Tarantino,3.1,Mandarim,16,18+,Sim
Drama,1991,66,Stanley Kubrick,8.9,Russo,17,10+,Sim
Fantasia,2015,160,Orson Welles,6.1,Japonês,18,14+,Não
Drama,1922,80,Ridley Scott,8.3,Inglês,2,12+,Não
Animação,1981,156,Francis Ford Coppola,9.3,Russo,7,Livre,Sim
Fantasia,1949,124,Alfred Hitchcock,5.5,Hindi,4,Livre,Sim
Thriller,1946,119,Steven Spielberg,6.6,Português,7,Livre,Sim
Terror,1999,92,Stanley Kubrick,1.9,Português,11,Livre,Sim
Animação,2003,167,Stanley Kubrick,2.7,Mandarim,9,16+,Não
Terror,1982,114,Martin Scorsese,6.8,Italiano,18,12+,Não
Romance,1965,62,Francis Ford Coppola,3.2,Inglês,3,10+,Sim
Romance,1978,104,Martin Scorsese,5.3,Português,3,Livre,Sim
Comédia,1935,97,Martin Scorsese,6.4,Hindi,19,18+,Não
Romance,1920,160,Martin Scorsese,5.2,Hindi,20,18+,Não
Ficção Científica,1960,72,Ridley Scott,9.6,Português,7,10+,Sim
Romance,1954,82,Ridley Scott,8.0,Espanhol,9,16+,Não
Thriller,1993,93,Quentin Tarantino,2.2,Hindi,19,12+,Sim
Thriller,1946,141,Francis Ford Coppola,4.6,Russo,11,Livre,Sim
Fantasia,1928,94,Quentin Tarantino,1.2,Alemão,7,10+,Sim
Thriller,1931,77,Woody Allen,5.5,Mandarim,20,18+,Não
Ação,2001,91,Quentin Tarantino,10.0,Japonês,12,16+,Sim
Comédia,1978,70,Orson Welles,1.7,Inglês,10,14+,Não
Documentário,1956,78,Orson Welles,8.0,Alemão,16,10+,Sim
Ação,1963,139,Ridley Scott,6.8,Hindi,14,16+,Não
Fantasia,2000,111,Ridley Scott,1.4,Espanhol,14,18+,Não
Ficção Científica,2004,177,Francis Ford Coppola,2.4,Francês,20,12+,Não
Terror,2013,149,Orson Welles,2.8,Russo,15,18+,Não
Drama,1936,151,Stanley Kubrick,8.2,Italiano,15,16+,Não
Fantasia,1944,134,Christopher Nolan,1.2,Espanhol,18,Livre,Sim
Thriller,1973,122,Woody Allen,2.4,Inglês,16,10+,Sim
Romance,1981,168,Martin Scorsese,1.7,Inglês,4,14+,Não
Comédia,1944,128,Woody Allen,8.3,Mandarim,17,Livre,Sim
Documentário,1953,169,Orson Welles,7.2,Inglês,18,12+,Não
Romance,2002,133,Orson Welles,7.1,Português,10,16+,Não
Animação,2009,109,Francis Ford Coppola,1.2,Mandarim,2,18+,Não
Animação,1978,87,Ridley Scott,6.0,Italiano,4,18+,Não
Documentário,1964,134,Martin Scorsese,7.4,Inglês,6,10+,Sim
Comédia,1965,72,Quentin Tarantino,3.6,Mandarim,19,14+,Sim
Drama,1962,133,Alfred Hitchcock,8.6,Hindi,16,16+,Não
Documentário,1920,162,Stanley Kubrick,9.9,Português,17,16+,Não
Comédia,2000,158,Stanley Kubrick,8.3,Hindi,5,10+,Sim
Animação,1948,127,Martin Scorsese,1.8,Mandarim,11,Livre,Sim
Documentário,1990,155,Francis Ford Coppola,1.2,Espanhol,12,12+,Não
Thriller,1922,143,Orson Welles,5.3,Espanhol,13,16+,Não
Romance,1968,88,Alfred Hitchcock,8.5,Italiano,16,12+,Não
Ficção Científica,1947,76,Quentin Tarantino,5.5,Português,8,12+,Sim
Comédia,1958,67,Steven Spielberg,3.2,Italiano,9,10+,Sim
Ficção Científica,1977,82,Woody Allen,7.7,Russo,20,16+,Não
Fantasia,1927,137,Alfred Hitchcock,7.4,Inglês,19,12+,Não
Comédia,1988,98,Alfred Hitchcock,5.4,Japonês,2,10+,Sim
Terror,2018,145,Stanley Kubrick,6.4,Espanhol,20,18+,Não
Thriller,1973,165,Quentin Tarantino,1.9,Português,13,14+,Sim
Ficção Científica,2009,116,Quentin Tarantino,7.5,Mandarim,14,12+,Sim
Drama,2013,157,Alfred Hitchcock,8.0,Inglês,1,12+,Não
Animação,1979,110,Alfred Hitchcock,3.1,Russo,16,10+,Sim
Thriller,1980,101,Alfred Hitchcock,5.6,Espanhol,3,16+,Não
Terror,1937,176,Alfred Hitchcock,1.7,Espanhol,18,12+,Não
Fantasia,1972,132,Stanley Kubrick,9.3,Mandarim,2,12+,Não
Documentário,2012,126,Francis Ford Coppola,6.1,Espanhol,3,10+,Sim
Ação,1958,65,Stanley Kubrick,10.0,Espanhol,2,10+,Sim
Animação,1978,86,Alfred Hitchcock,8.5,Mandarim,2,12+,Não
Ação,2004,69,Francis Ford Coppola,5.7,Francês,20,10+,Sim
Documentário,1969,134,Quentin Tarantino,8.8,Italiano,12,18+,Sim
Terror,2013,76,Alfred Hitchcock,1.7,Alemão,13,18+,Não
Documentário,1966,175,Ridley Scott,2.0,Francês,3,Livre,Sim
Animação,2005,76,Orson Welles,5.9,Japonês,7,10+,Sim
Fantasia,1946,154,Orson Welles,9.8,Hindi,15,14+,Não
Thriller,1947,152,Francis Ford Coppola,5.7,Inglês,6,14+,Não
Terror,1970,130,Ridley Scott,7.8,Russo,20,16+,Não
Comédia,2004,132,Quentin Tarantino,1.4,Francês,16,10+,Sim
Documentário,2002,172,Orson Welles,2.5,Inglês,13,12+,Não
Animação,1960,125,Martin Scorsese,4.3,Espanhol,6,12+,Não
Romance,1971,74,Quentin Tarantino,4.7,Inglês,20,14+,Sim
Fantasia,1928,149,Quentin Tarantino,7.1,Francês,16,10+,Sim
Fantasia,2017,93,Ridley Scott,9.1,Francês,16,14+,Não
Documentário,2019,64,Christopher Nolan,3.7,Inglês,6,16+,Sim
Documentário,1932,68,Steven Spielberg,1.7,Francês,19,16+,Não
Ação,1997,72,Steven Spielberg,4.4,Alemão,7,16+,Não
Animação,1948,73,Quentin Tarantino,3.2,Mandarim,10,10+,Sim
Thriller,1975,66,Alfred Hitchcock,7.8,Espanhol,12,16+,Não
Animação,1976,139,Ridley Scott,1.7,Português,19,Livre,Sim
Comédia,1967,178,Orson Welles,5.4,Hindi,18,14+,Não
Romance,2004,94,Martin Scorsese,9.1,Português,19,12+,Não
Romance,2012,122,Woody Allen,3.6,Francês,4,12+,Não
Thriller,1945,166,Orson Welles,8.5,Mandarim,9,10+,Sim
Comédia,1990,80,Christopher Nolan,1.6,Inglês,8,12+,Sim
Drama,1989,169,Stanley Kubrick,3.5,Francês,10,16+,Não
Romance,1949,139,Francis Ford Coppola,5.4,Hindi,13,14+,Não
Ação,1940,113,Ridley Scott,9.2,Hindi,5,Livre,Sim
Animação,1977,82,Steven Spielberg,4.3,Russo,5,14+,Não
Drama,1992,109,Martin Scorsese,2.5,Hindi,2,Livre,Sim
Fantasia,1933,153,Steven Spielberg,1.2,Mandarim,10,Livre,Sim
Ficção Científica,1959,71,Martin Scorsese,1.5,Russo,17,14+,Não
Documentário,2022,178,Stanley Kubrick,5.9,Alemão,4,Livre,Sim
Documentário,1980,80,Steven Spielberg,9.1,Alemão,4,10+,Sim
Romance,1973,138,Francis Ford Coppola,7.1,Russo,17,10+,Sim
Drama,1976,76,Stanley Kubrick,1.6,Inglês,11,14+,Não
Fantasia,2018,63,Woody Allen,1.9,Hindi,8,16+,Não
Comédia,1929,74,Steven Spielberg,6.6,Espanhol,5,12+,Não
Romance,1975,98,Stanley Kubrick,7.0,Português,9,Livre,Sim
Drama,1980,61,Woody Allen,4.7,Alemão,19,16+,Não
Documentário,1933,136,Martin Scorsese,1.1,Mandarim,11,14+,Não
Documentário,1959,180,Ridley Scott,1.9,Hindi,9,14+,Não
Fantasia,2023,84,Quentin Tarantino,6.5,Hindi,18,Livre,Sim
Documentário,2005,85,Quentin Tarantino,10.0,Inglês,2,10+,Sim
Romance,1937,114,Steven Spielberg,2.5,Espanhol,18,12+,Não
Thriller,1966,66,Orson Welles,9.2,Russo,13,16+,Não
Terror,1947,104,Alfred Hitchcock,7.1,Japonês,19,10+,Sim
Drama,1971,67,Orson Welles,4.2,Hindi,3,Livre,Sim
Terror,2020,163,Stanley Kubrick,4.1,Japonês,2,14+,Não
Drama,1964,141,Christopher Nolan,7.4,Espanhol,11,18+,Sim
Drama,1993,71,Steven Spielberg,5.3,Italiano,19,12+,Não
Animação,1995,131,Alfred Hitchcock,6.2,Português,9,12+,Não
Documentário,1938,120,Orson Welles,8.9,Japonês,19,10+,Sim
Animação,1987,155,Francis Ford Coppola,9.9,Espanhol,3,12+,Não
Documentário,1949,165,Martin Scorsese,8.8,Alemão,13,14+,Não
Ação,1976,129,Woody Allen,6.3,Francês,20,16+,Não
Documentário,1923,60,Woody Allen,8.0,Japonês,8,12+,Não
Fantasia,1926,161,Christopher Nolan,4.4,Francês,16,Livre,Sim
Documentário,1949,123,Ridley Scott,3.8,Mandarim,14,16+,Não
Ficção Científica,2014,87,Orson Welles,1.9,Hindi,14,18+,Não
Ação,2002,164,Christopher Nolan,3.7,Italiano,15,14+,Sim
Terror,2021,96,Stanley Kubrick,6.0,Alemão,10,Livre,Sim
Thriller,1940,154,Martin Scorsese,1.9,Hindi,8,Livre,Sim
Thriller,1950,80,Martin Scorsese,2.8,Japonês,1,10+,Sim
Ficção Científica,1968,112,Alfred Hitchcock,6.0,Inglês,8,14+,Não
Animação,1962,86,Martin Scorsese,2.3,Hindi,6,18+,Não
Fantasia,1940,179,Ridley Scott,4.6,Mandarim,13,14+,Não
Comédia,1992,136,Alfred Hitchcock,3.8,Espanhol,19,14+,Não
Ficção Científica,1992,172,Quentin Tarantino,4.1,Italiano,20,12+,Sim
Thriller,1981,169,Stanley Kubrick,5.0,Português,7,16+,Não
Thriller,1945,71,Quentin Tarantino,6.4,Mandarim,5,12+,Sim
Ficção Científica,1984,63,Ridley Scott,5.1,Italiano,15,16+,Não
Documentário,1965,158,Orson Welles,4.8,Italiano,13,14+,Não
Comédia,1987,111,Stanley Kubrick,9.5,Alemão,12,Livre,Sim
Ação,2019,79,Woody Allen,2.5,Japonês,17,18+,Não
Comédia,2009,169,Steven Spielberg,9.1,Italiano,15,Livre,Sim
Documentário,1969,165,Steven Spielberg,6.3,Espanhol,14,18+,Não
Thriller,2006,75,Quentin Tarantino,3.0,Russo,14,12+,Sim
Documentário,1955,74,Francis Ford Coppola,4.5,Mandarim,19,14+,Não
Comédia,1975,86,Francis Ford Coppola,8.7,Inglês,2,Livre,Sim
Terror,1993,156,Martin Scorsese,4.0,Japonês,7,18+,Não
Thriller,1998,72,Woody Allen,7.7,Hindi,9,16+,Não
Terror,1984,145,Stanley Kubrick,8.1,Francês,11,16+,Não
Comédia,1977,157,Martin Scorsese,1.4,Inglês,11,14+,Não
Thriller,1981,78,Orson Welles,9.3,Italiano,14,Livre,Sim
Thriller,1995,117,Quentin Tarantino,6.8,Italiano,15,14+,Sim
Ficção Científica,2007,105,Alfred Hitchcock,9.2,Italiano,17,12+,Sim
Romance,1969,146,Francis Ford Coppola,3.8,Português,11,12+,Não
Romance,1935,157,Woody Allen,2.9,Italiano,3,10+,Sim
Comédia,1994,81,Francis Ford Coppola,1.1,Francês,11,12+,Não
Comédia,1939,134,Quentin Tarantino,2.2,Hindi,1,10+,Sim
Romance,2014,163,Christopher Nolan,8.0,Mandarim,17,Livre,Sim
Romance,1937,165,Steven Spielberg,4.6,Inglês,12,10+,Sim
Comédia,1940,125,Stanley Kubrick,4.1,Japonês,11,18+,Não
Terror,1928,73,Martin Scorsese,1.2,Russo,16,16+,Não
Drama,1950,110,Stanley Kubrick,8.4,Francês,13,18+,Não
Animação,1980,76,Stanley Kubrick,8.8,Espanhol,17,14+,Não
Animação,1979,161,Francis Ford Coppola,8.1,Mandarim,8,Livre,Sim
Thriller,1983,87,Orson Welles,4.5,Italiano,12,Livre,Sim
Fantasia,1997,110,Ridley Scott,2.8,Francês,12,18+,Não
Comédia,1944,64,Christopher Nolan,2.1,Italiano,1,18+,Sim
Documentário,2013,82,Steven Spielberg,8.2,Alemão,20,12+,Não
Terror,1998,175,Orson Welles,2.7,Italiano,5,16+,Não
Ação,1949,112,Orson Welles,2.0,Espanhol,8,16+,Não
Animação,1928,78,Alfred Hitchcock,7.8,Francês,11,12+,Não
Comédia,1944,85,Alfred Hitchcock,7.8,Português,8,12+,Não
Ficção Científica,2013,153,Steven Spielberg,1.7,Português,11,12+,Não
Ação,2017,143,Francis Ford Coppola,8.1,Espanhol,5,16+,Não
Ficção Científica,1986,175,Steven Spielberg,5.7,Português,12,Livre,Sim
Fantasia,1998,94,Orson Welles,7.2,Espanhol,11,12+,Não
Fantasia,2003,123,Steven Spielberg,1.5,Russo,14,12+,Não
Documentário,2020,74,Christopher Nolan,7.4,Espanhol,4,10+,Sim
Animação,2009,98,Woody Allen,8.9,Inglês,5,12+,Não
Fantasia,1957,141,Quentin Tarantino,7.1,Hindi,10,Livre,Sim
Comédia,1957,141,Quentin Tarantino,2.1,Francês,3,16+,Sim
Romance,1992,155,Martin Scorsese,7.3,Hindi,14,Livre,Sim
Documentário,1948,119,Quentin Tarantino,6.0,Português,20,Livre,Sim
Comédia,1974,75,Woody Allen,3.3,Português,2,14+,Não
Animação,1936,93,Martin Scorsese,3.2,Italiano,20,18+,Não
Ficção Científica,1952,136,Francis Ford Coppola,5.7,Mandarim,12,14+,Não
Drama,1983,153,Woody Allen,4.2,Inglês,10,18+,Não
Romance,1959,166,Stanley Kubrick,5.2,Russo,18,14+,Não
Thriller,2020,134,Christopher Nolan,9.6,Japonês,5,18+,Sim
Fantasia,1944,169,Quentin Tarantino,5.4,Mandarim,3,12+,Sim
Terror,1972,134,Francis Ford Coppola,4.6,Francês,8,Livre,Sim
Romance,1978,175,Alfred Hitchcock,7.9,Alemão,1,18+,Não
Documentário,1924,70,Christopher Nolan,7.6,Espanhol,7,16+,Sim
Animação,2010,144,Alfred Hitchcock,3.7,Alemão,9,10+,Sim
Ação,2005,178,Woody Allen,7.4,Português,2,14+,Não
Fantasia,1995,66,Woody Allen,5.0,Italiano,7,14+,Não
Animação,1966,143,Christopher Nolan,4.7,Alemão,10,12+,Sim
Comédia,1936,65,Christopher Nolan,5.2,Alemão,6,16+,Sim
Romance,1930,179,Steven Spielberg,4.5,Italiano,5,14+,Não
Comédia,1968,114,Christopher Nolan,7.6,Russo,2,18+,Sim
Ação,2005,132,Francis Ford Coppola,1.4,Espanhol,14,10+,Sim
Romance,1937,157,Woody Allen,7.9,Espanhol,8,Livre,Sim
Comédia,1972,110,Francis Ford Coppola,7.4,Alemão,15,18+,Não
Ação,1979,80,Martin Scorsese,1.5,Inglês,15,16+,Não
Ficção Científica,2014,172,Orson Welles,1.4,Alemão,18,12+,Não
Ação,1931,79,Orson Welles,2.4,Português,8,16+,Não
Documentário,1935,73,Orson Welles,7.7,Francês,13,14+,Não
Ação,1993,67,Woody Allen,2.4,Japonês,1,16+,Não
Ação,1986,99,Francis Ford Coppola,8.9,Japonês,20,18+,Não
Romance,1947,68,Stanley Kubrick,4.7,Alemão,3,Livre,Sim
Ficção Científica,1974,71,Stanley Kubrick,2.1,Mandarim,7,Livre,Sim
Documentário,1944,123,Christopher Nolan,8.3,Russo,8,12+,Sim
Documentário,1946,100,Ridley Scott,1.5,Português,1,12+,Não
Romance,2012,91,Christopher Nolan,5.9,Inglês,7,Livre,Sim
Animação,1949,94,Francis Ford Coppola,4.6,Italiano,4,12+,Não
Terror,1988,177,Woody Allen,2.2,Hindi,12,10+,Sim
Drama,1984,74,Woody Allen,7.0,Mandarim,9,Livre,Sim
Documentário,1966,146,Ridley Scott,8.0,Russo,17,16+,Não
Terror,1937,62,Alfred Hitchcock,1.1,Italiano,6,16+,Não
Animação,1940,126,Alfred Hitchcock,1.6,Espanhol,6,18+,Não
Ficção Científica,1921,124,Alfred Hitchcock,4.3,Francês,8,Livre,Sim
Animação,1976,143,Ridley Scott,6.0,Italiano,13,16+,Não
Thriller,1987,83,Alfred Hitchcock,8.7,Espanhol,13,14+,Não
Terror,1983,108,Stanley Kubrick,1.9,Inglês,14,18+,Não
Thriller,1920,127,Quentin Tarantino,2.7,Português,7,Livre,Sim
Terror,1971,144,Martin Scorsese,8.4,Espanhol,13,16+,Não
Terror,1953,135,Christopher Nolan,6.5,Português,7,18+,Sim
Terror,1969,92,Stanley Kubrick,9.3,Italiano,11,Livre,Sim
Documentário,1930,135,Alfred Hitchcock,7.8,Russo,14,Livre,Sim
Thriller,1954,69,Steven Spielberg,4.5,Russo,17,16+,Não
Thriller,1924,63,Ridley Scott,6.9,Espanhol,3,14+,Não
Documentário,2019,150,Ridley Scott,2.8,Francês,1,10+,Sim
Drama,1935,106,Orson Welles,9.8,Francês,16,Livre,Sim
Comédia,1946,76,Ridley Scott,7.8,Hindi,2,Livre,Sim
Drama,1979,96,Quentin Tarantino,5.5,Hindi,11,14+,Sim
Comédia,1998,138,Ridley Scott,6.9,Italiano,20,14+,Não
Ação,1940,168,Martin Scorsese,8.1,Italiano,6,16+,Não
Fantasia,1983,110,Woody Allen,8.9,Alemão,17,12+,Não
Terror,2002,150,Quentin Tarantino,3.5,Alemão,14,12+,Sim
Drama,1947,102,Ridley Scott,6.9,Italiano,4,12+,Não
Animação,1996,152,Christopher Nolan,2.2,Mandarim,4,Livre,Sim
Ficção Científica,1956,137,Ridley Scott,2.8,Italiano,16,18+,Não
Thriller,1970,147,Orson Welles,2.7,Alemão,12,12+,Não
Ação,1947,129,Ridley Scott,8.4,Alemão,16,18+,Não
Fantasia,1948,170,Francis Ford Coppola,7.3,Português,5,Livre,Sim
Drama,1956,124,Ridley Scott,5.4,Japonês,13,10+,Sim
Animação,1972,147,Woody Allen,1.6,Francês,14,12+,Não
Ação,1991,157,Stanley Kubrick,8.7,Alemão,1,18+,Não
Comédia,2006,117,Ridley Scott,4.9,Espanhol,4,10+,Sim
Documentário,2001,101,Stanley Kubrick,3.0,Hindi,12,16+,Não
Drama,2002,119,Martin Scorsese,2.6,Japonês,18,14+,Não
Comédia,2021,172,Francis Ford Coppola,9.0,Português,19,16+,Não
Terror,1944,96,Alfred Hitchcock,2.8,Português,5,12+,Não
Romance,1960,149,Alfred Hitchcock,7.3,Italiano,2,18+,Não
Ficção Científica,1985,138,Martin Scorsese,9.3,Português,20,10+,Sim
Drama,1956,60,Ridley Scott,7.2,Espanhol,19,14+,Não
Romance,1957,154,Francis Ford Coppola,4.8,Inglês,2,14+,Não
Romance,1947,148,Francis Ford Coppola,2.0,Italiano,20,12+,Não
Fantasia,2023,80,Alfred Hitchcock,3.6,Russo,13,Livre,Sim
Ficção Científica,1946,151,Martin Scorsese,4.9,Hindi,7,14+,Não
Ficção Científica,2015,147,Christopher Nolan,8.9,Hindi,3,18+,Sim
Romance,1934,142,Martin Scorsese,1.7,Espanhol,13,12+,Não
Comédia,1950,169,Christopher Nolan,4.9,Francês,13,16+,Sim
Terror,1940,146,Christopher Nolan,9.7,Inglês,20,14+,Sim
Terror,1935,61,Ridley Scott,6.3,Espanhol,16,14+,Não
Thriller,1977,96,Alfred Hitchcock,1.5,Inglês,11,16+,Não
Terror,2016,147,Orson Welles,9.8,Japonês,10,10+,Sim
Drama,1972,128,Woody Allen,1.3,Mandarim,3,10+,Sim
Terror,2019,100,Orson Welles,4.5,Inglês,5,Livre,Sim
Drama,1946,77,Stanley Kubrick,5.1,Francês,9,Livre,Sim
Fantasia,1991,76,Francis Ford Coppola,8.0,Russo,3,Livre,Sim
Animação,1975,161,Alfred Hitchcock,1.5,Hindi,19,12+,Não
Documentário,2012,160,Woody Allen,4.2,Espanhol,20,12+,Não
Fantasia,1922,163,Christopher Nolan,4.3,Hindi,18,10+,Sim
Ação,1959,133,Ridley Scott,3.2,Japonês,6,18+,Não
Animação,1970,122,Woody Allen,5.7,Italiano,11,16+,Não
Terror,1956,149,Ridley Scott,3.9,Francês,18,12+,Não
Fantasia,1999,152,Quentin Tarantino,2.4,Português,12,18+,Sim
Terror,1958,122,Christopher Nolan,8.1,Mandarim,20,14+,Sim
Fantasia,2008,168,Martin Scorsese,2.3,Mandarim,5,16+,Não
Comédia,1952,165,Quentin Tarantino,8.3,Alemão,19,10+,Sim
Animação,1958,75,Francis Ford Coppola,4.7,Russo,1,16+,Não
Documentário,2011,169,Martin Scorsese,8.1,Francês,8,12+,Não
Drama,2014,160,Quentin Tarantino,2.0,Português,5,16+,Sim
Ficção Científica,1964,68,Orson Welles,9.3,Espanhol,12,14+,Sim
Animação,1937,175,Francis Ford Coppola,4.9,Português,16,Livre,Sim
Terror,1998,172,Orson Welles,1.1,Hindi,3,10+,Sim
Ficção Científica,1997,89,Ridley Scott,5.2,Mandarim,14,12+,Não
Comédia,1924,105,Ridley Scott,8.0,Alemão,18,Livre,Sim
Ficção Científica,1997,95,Quentin Tarantino,9.7,Alemão,16,14+,Sim
Ação,2021,142,Orson Welles,7.0,Português,4,14+,Não
Comédia,2010,178,Steven Spielberg,1.6,Italiano,13,14+,Não
Drama,1984,176,Alfred Hitchcock,1.1,Japonês,16,16+,Não
Fantasia,1945,73,Quentin Tarantino,1.0,Japonês,7,12+,Sim
Ação,1949,171,Francis Ford Coppola,6.3,Italiano,8,16+,Não
Drama,2007,137,Martin Scorsese,4.0,Francês,16,14+,Não
Terror,1949,88,Ridley Scott,8.7,Francês,8,16+,Não
Documentário,1948,141,Woody Allen,6.5,Inglês,2,18+,Não
Fantasia,1928,165,Steven Spielberg,1.8,Japonês,10,12+,Não
Animação,1945,146,Alfred Hitchcock,6.0,Inglês,4,Livre,Sim
Fantasia,2021,180,Alfred Hitchcock,8.4,Alemão,19,Livre,Sim
Comédia,1993,133,Quentin Tarantino,3.3,Alemão,2,Livre,Sim
Terror,1945,172,Quentin Tarantino,9.3,Inglês,18,Livre,Sim
Ação,2006,153,Quentin Tarantino,7.5,Francês,15,10+,Sim
Terror,2022,60,Martin Scorsese,3.2,Japonês,20,14+,Não
Ação,1966,172,Ridley Scott,8.8,Inglês,12,Livre,Sim
Documentário,1969,104,Martin Scorsese,2.8,Italiano,20,16+,Não
Comédia,1960,62,Orson Welles,7.4,Italiano,18,18+,Não
Comédia,1948,147,Orson Welles,6.1,Italiano,7,18+,Não
Romance,1944,86,Alfred Hitchcock,6.7,Hindi,12,10+,Sim
Terror,1940,164,Christopher Nolan,8.3,Italiano,9,18+,Sim
Romance,1928,105,Ridley Scott,7.5,Português,20,18+,Não
Animação,2002,91,Ridley Scott,2.3,Italiano,13,10+,Sim
