"Coluna1"," Coluna2"," Coluna3"," Coluna4"," Coluna5"," Coluna6"," Coluna 7"," Coluna8"," Coluna9"," Coluna 10"," Coluna11"," Coluna 12"," Coluna 13"," Coluna 14"," Coluna 15"," Coluna 16"," Coluna 17"," Coluna 18"," Coluna 19"," Coluna20"," Coluna21"," Coluna22"," Coluna23"," Coluna24"," Coluna25"," Coluna26"," Coluna 27"," Coluna 28"," Coluna 29"," Coluna30"," Coluna31"," Coluna32"
" cereais","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" marshmallow de chocolate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" outros vegetais"," pão semiacabado","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" carne"," outros vegetais"," lanche salgado","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" bebidas de cacau","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" salsicha"," fruta tropical"," manteiga"," Refeições congeladas"," massa"," suco de frutas/vegetais","","","","","","","","","","","","","","","","","","","","","","","","","",""
" leite inteiro"," pão integral","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" café"," café instantâneo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" fruta tropical"," leite inteiro"," ovos domésticos"," vinho tinto/blush"," produtos para manutenção da casa","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" salsicha"," Leite UHT"," pão integral"," óleo"," cerveja em lata"," conhaque"," sacolas de compras","","","","","","","","","","","","","","","","","","","","","","","","",""
" pãezinhos/pãezinhos"," pastelaria","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" sorvete"," pão semiacabado","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" pão de fígado"," leite inteiro"," pãezinhos/pãezinhos","refrigerante","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" Frankfurt"," carne de hambúrguer"," fruta tropical"," outros vegetais"," leite inteiro"," iogurte"," chantilly/creme de leite"," pãezinhos/pãezinhos"," toalhas de cozinha"," jornais","","","","","","","","","","","","","","","","","","","","","",""
" goma de mascar"," produtos sazonais","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"refrigerante"," lanche salgado"," barra de bolo"," doce","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" manteiga"," sobremesa"," iogurte"," pãezinhos/pãezinhos"," Margarina"," goma de mascar","","","","","","","","","","","","","","","","","","","","","","","","","",""
" frango"," fruta tropical"," fruta pipa"," outros vegetais","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" salsicha"," pãezinhos/pãezinhos"," água engarrafada","refrigerante"," jornais"," sacolas de compras","","","","","","","","","","","","","","","","","","","","","","","","","",""
"refrigerante","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" comida de gato","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" fruta pipa"," Soro de leite coalhado"," Leite UHT"," sorvete"," pãezinhos/pãezinhos"," cosméticos masculinos"," jornais","","","","","","","","","","","","","","","","","","","","","","","","",""
" queijo macio"," sorvete","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" leite inteiro"," pão branco"," jornais","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"refrigerante","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" frango","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" outros vegetais"," coalhada"," pastelaria"," massa"," artigos de higiene"," Sementes de flores)","","","","","","","","","","","","","","","","","","","","","","","","","",""
" pastelaria"," café instantâneo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" sorvete"," cerveja engarrafada"," prosecco"," pratos"," sacolas de compras","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" salsicha","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" citrino"," iogurte"," chantilly/creme de leite"," sacolas de compras","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" chocolate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" bebidas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" água engarrafada","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" salsicha"," outros vegetais"," sobremesa","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" chantilly/creme de leite","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" vegetais de raiz"," outros vegetais"," leite inteiro"," pãezinhos/pãezinhos"," açúcar"," cereais","refrigerante"," sabão","","","","","","","","","","","","","","","","","","","","","","","",""
" sorvete","refrigerante","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" carne"," fruta pipa"," leite inteiro"," coalhada"," iogurte"," Refeições congeladas"," pastelaria"," produtos de batata"," suco de frutas/vegetais"," cerveja engarrafada"," lanche salgado"," produto de panificação longa vida"," jornais","","","","","","","","","","","","","","","","","","",""
" Frankfurt"," presunto"," fruta tropical"," fruta pipa"," uvas"," outros vegetais"," leite inteiro"," iogurte"," queijo fatiado"," Refeições congeladas"," peixe congelado"," pão integral","","","","","","","","","","","","","","","","","","","",""
" fruta tropical"," sobremesa"," iogurte"," queijo fatiado"," Requeijão cremoso"," pãezinhos/pãezinhos"," pão integral"," vegetais enlatados"," suco de frutas/vegetais","","","","","","","","","","","","","","","","","","","","","","",""
" frango"," vegetais de raiz"," outros vegetais"," leite inteiro"," vegetais congelados"," ovos domésticos"," pão integral"," vegetais enlatados","","","","","","","","","","","","","","","","","","","","","","","",""
" vegetais de raiz"," outros vegetais"," pão branco"," fermento em pó","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" outros vegetais"," suco de frutas/vegetais"," lanche salgado"," guardanapos","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" café"," chá","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"refrigerante","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" frango"," carne de porco"," Margarina"," gordura especial"," cerveja engarrafada","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" sorvete","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" carne de hambúrguer"," Requeijão cremoso"," pão integral","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" carne de porco"," pãezinhos/pãezinhos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" sorvete","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" outros vegetais"," café","refrigerante"," cuidado dental","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" cerveja engarrafada","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" diversos. bebidas"," pratos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" carne bovina"," fruta tropical"," leite inteiro"," Margarina","refrigerante","velas","","","","","","","","","","","","","","","","","","","","","","","","","",""
" leite inteiro"," pastas de carne"," suco de frutas/vegetais","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" frango"," iogurte"," chantilly/creme de leite","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" sobremesa"," chocolate especial","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" pastelaria"," Margarina"," café","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" salsicha"," leite inteiro"," iogurte","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" cebola"," Refeições congeladas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" fruta tropical"," outros vegetais"," Leite UHT"," ovos domésticos"," vasos de plantas","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" solo/fertilizante para flores","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" sorvete","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"refrigerante","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" pastelaria","refrigerante","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" fruta pipa"," vegetais de raiz"," leite inteiro"," manteiga"," coalhada"," iogurte"," Leite UHT"," queijo especial"," pão branco"," Margarina"," cereais"," legumes em conserva"," café"," barra de bolo","","","","","","","","","","","","","","","","","",""
" carne"," outros vegetais"," leite inteiro"," queijo duro"," suco de frutas/vegetais"," produto de panificação longa vida","","","","","","","","","","","","","","","","","","","","","","","","","",""
" leite inteiro"," queijo duro"," pãezinhos/pãezinhos"," água engarrafada","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" zwieback","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" licor (aperitivo)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" fruta pipa"," leite inteiro","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" cerveja em lata","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" Produtos alimentares instantâneos","refrigerante","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" carne de porco"," iogurte","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" Soro de leite coalhado","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" óleo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" carne"," carne de porco"," manteiga"," pão integral"," chocolate especial"," toalhas de cozinha","","","","","","","","","","","","","","","","","","","","","","","","","",""
" fruta tropical"," fruta pipa"," leite inteiro"," Requeijão cremoso"," vegetais congelados"," sorvete"," água engarrafada"," sacolas de compras","","","","","","","","","","","","","","","","","","","","","","","",""
"refrigerante"," cerveja em lata","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"refrigerante","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" carne"," leite inteiro"," iogurte","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" Frankfurt"," fruta tropical"," outros vegetais"," sobremesa"," Leite UHT"," Requeijão cremoso"," pão integral"," pastelaria"," artigos de higiene","","","","","","","","","","","","","","","","","","","","","","",""
" chantilly/creme de leite"," vegetais congelados","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" fruta tropical"," vegetais de raiz"," outros vegetais"," leite inteiro"," sorvete"," massa"," vegetais enlatados","refrigerante"," lanche salgado","","","","","","","","","","","","","","","","","","","","","","",""
" salsicha"," jornais","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" fruta tropical"," chantilly/creme de leite"," artigos de higiene","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" carne de porco"," Queijo processado"," cerveja em lata","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" cerveja engarrafada"," Sementes de flores)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" leite inteiro"," comida de gato"," clínica de cuidado de animais domésticos"," café","refrigerante"," diversos. bebidas"," chocolate","","","","","","","","","","","","","","","","","","","","","","","","",""
" vegetais congelados","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" leite inteiro"," Queijo processado","refrigerante"," barra de bolo"," chocolate"," barra de especialidades"," sacolas de compras","","","","","","","","","","","","","","","","","","","","","","","","",""
" salsicha"," fruta tropical"," vegetais de raiz"," outros vegetais"," queijo duro"," suco de frutas/vegetais"," produto de panificação longa vida"," waffles","","","","","","","","","","","","","","","","","","","","","","","",""
" carne de porco"," outros vegetais"," leite inteiro"," vegetais congelados"," pão integral"," produtos em rolo"," vegetais enlatados"," espumante"," chocolate"," cuidado dental","","","","","","","","","","","","","","","","","","","","","",""
" carne bovina"," leite inteiro"," coalhada"," pão branco"," guardanapos","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" salsicha"," frango"," carne de hambúrguer"," outros vegetais"," leite inteiro"," Soro de leite coalhado"," chantilly/creme de leite"," pão branco","","","","","","","","","","","","","","","","","","","","","","","",""
" fruta tropical"," fruta pipa"," Leite UHT"," Requeijão cremoso"," massa"," molhos"," fermento em pó"," comida de gato"," clínica de cuidado de animais domésticos"," água engarrafada"," cerveja engarrafada"," lanche salgado"," sacolas de compras","","","","","","","","","","","","","","","","","","",""
" leite inteiro"," iogurte"," ovos domésticos"," pãezinhos/pãezinhos"," suco de frutas/vegetais"," produto de panificação longa vida"," chocolate especial"," barra de especialidades","","","","","","","","","","","","","","","","","","","","","","","",""
" água engarrafada"," waffles"," chocolate","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" carne bovina"," chocolate especial","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" pão integral","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" cerveja engarrafada","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" salsicha"," fruta tropical"," iogurte"," Refeições congeladas"," comida de gato"," água engarrafada","refrigerante"," cerveja engarrafada"," waffles","","","","","","","","","","","","","","","","","","","","","","",""
" fruta pipa"," outros vegetais"," leite inteiro"," manteiga"," chantilly/creme de leite"," queijo fatiado"," pastelaria"," artigos de higiene"," guardanapos","","","","","","","","","","","","","","","","","","","","","","",""
" Frankfurt"," pãezinhos/pãezinhos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" Leite UHT"," mostarda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" leite inteiro"," pão integral","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" Soro de leite coalhado"," pão integral","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" leite inteiro","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" ervas"," leite inteiro"," coalhada"," comida de gato","refrigerante","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" fruta tropical"," vegetais de raiz"," outros vegetais"," leite inteiro"," iogurte"," arroz"," óleo"," limpador de banheiro","","","","","","","","","","","","","","","","","","","","","","","",""
" frango"," pãezinhos/pãezinhos"," água engarrafada","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" coalhada"," Requeijão cremoso"," frutas congeladas"," Margarina"," bebidas de cacau","refrigerante","","","","","","","","","","","","","","","","","","","","","","","","","",""
" carne de porco"," carne bovina"," outros vegetais"," leite inteiro"," iogurte"," Margarina"," suco de frutas/vegetais","","","","","","","","","","","","","","","","","","","","","","","","",""
" carne de hambúrguer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" carne de hambúrguer"," cebola"," sorvete"," diversos. bebidas"," sacolas de compras","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" vegetais de raiz"," cebola"," sobremesa"," maionese"," pão integral"," sal"," peixe enlatado"," água engarrafada"," suco de frutas/vegetais"," cerveja engarrafada"," Pipoca","","","","","","","","","","","","","","","","","","","","",""
" manteiga"," barrar queijo"," sorvete"," pãezinhos/pãezinhos","refrigerante"," produto de panificação longa vida"," chocolate"," marshmallow de chocolate","","","","","","","","","","","","","","","","","","","","","","","",""
" Leite UHT"," açúcar"," café"," cerveja em lata","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" leite inteiro"," comida de gato","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" salsicha"," carne"," frango"," carne bovina"," citrino"," vegetais de raiz"," ervas"," leite inteiro"," manteiga"," ovos domésticos"," produtos em rolo"," café"," produto de panificação longa vida"," waffles","","","","","","","","","","","","","","","","","",""
" cerveja em lata"," barra de especialidades","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" leite inteiro"," pãezinhos/pãezinhos"," cerveja em lata"," goma de mascar","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" óleo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" salsicha"," carne"," bagas"," cebola"," outros vegetais"," queijo macio"," queijo duro"," Requeijão cremoso"," maionese"," Refeições congeladas"," ovos domésticos"," pãezinhos/pãezinhos"," mostarda"," peixe enlatado"," sacolas de compras","","","","","","","","","","","","","","","","",""
" Frankfurt"," maionese"," Margarina"," mostarda"," ketchup"," produtos sazonais","","","","","","","","","","","","","","","","","","","","","","","","","",""
" queijo fatiado"," pãezinhos/pãezinhos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" salsicha"," carne"," leite inteiro"," coalhada"," sobremesa"," iogurte"," pão integral"," cuidado dental"," cosméticos masculinos","","","","","","","","","","","","","","","","","","","","","","",""
" frango"," fruta pipa"," leite inteiro"," sobremesa"," Margarina","refrigerante"," cerveja em lata"," licor"," jornais","","","","","","","","","","","","","","","","","","","","","","",""
" Soro de leite coalhado"," iogurte","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" fruta pipa"," iogurte"," Requeijão cremoso"," pastas de carne"," café"," chocolate especial"," produtos sazonais"," utensílios de cozinha"," sacolas de compras","","","","","","","","","","","","","","","","","","","","","","",""
" salsicha"," bagas"," queijo fatiado"," Requeijão cremoso","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" manteiga"," iogurte","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" carne de porco"," outros vegetais","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" comida de gato","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" carne de hambúrguer"," bagas"," outros vegetais"," Leite UHT"," queijo duro"," Queijo processado"," vegetais enlatados","refrigerante"," waffles"," barra de especialidades"," jornais","","","","","","","","","","","","","","","","","","","","",""
" fruta tropical"," leite inteiro"," jornais","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" leite inteiro"," iogurte"," bebidas"," pãezinhos/pãezinhos"," água engarrafada"," suco de frutas/vegetais","","","","","","","","","","","","","","","","","","","","","","","","","",""
" amaciante"," jornais","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" pãezinhos/pãezinhos"," pastelaria"," pão semiacabado","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" fruta tropical"," leite inteiro","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" sobremesa"," queijo macio"," pão integral"," pastelaria","refrigerante"," produto de panificação longa vida"," artigos de higiene"," sacolas de compras","","","","","","","","","","","","","","","","","","","","","","","",""
" jornais","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" carne de hambúrguer"," ervas"," Leite UHT"," ovos domésticos"," óleo"," chocolate","","","","","","","","","","","","","","","","","","","","","","","","","",""
" frango","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" outros vegetais"," leite inteiro"," queijo especial","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" suco de frutas/vegetais","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" chocolate"," barra de especialidades"," doce"," guardanapos"," Sementes de flores)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" Margarina"," diversos. bebidas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" filme plástico/sacos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" frango"," manteiga"," vegetais congelados","refrigerante"," diversos. bebidas"," chocolate"," chocolate especial","","","","","","","","","","","","","","","","","","","","","","","","",""
" sal"," lanche salgado","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" jornais","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" vegetais de raiz","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" fruta pipa"," diversos. bebidas"," goma de mascar"," chocolate especial"," sacolas de compras","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" salsicha"," barrar queijo"," ovos domésticos","refrigerante"," sacolas de compras","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" outros vegetais"," leite inteiro"," lanche salgado","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" fruta tropical"," fruta pipa"," vegetais de raiz"," cebola"," outros vegetais"," leite inteiro"," chantilly/creme de leite"," diversos. bebidas"," suco de frutas/vegetais"," vinho tinto/blush"," lanche salgado"," detergente"," sacolas de compras","","","","","","","","","","","","","","","","","","",""
" jornais","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" Frankfurt"," Queijo processado","refrigerante","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" suco de frutas/vegetais","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" presunto"," leite inteiro"," queijo duro"," Margarina"," café"," suco de frutas/vegetais","","","","","","","","","","","","","","","","","","","","","","","","","",""
" salsicha"," carne de porco"," carne bovina"," fruta tropical"," outros vegetais"," leite inteiro"," Soro de leite coalhado"," chantilly/creme de leite"," produtos em rolo"," água engarrafada"," detergente"," artigos de higiene"," guardanapos"," produtos para manutenção da casa","","","","","","","","","","","","","","","","","",""
" Frankfurt"," carne bovina"," leite inteiro","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" peixe"," Leite UHT"," Requeijão cremoso"," sorvete","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" goma de mascar"," barra de especialidades","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" citrino"," pãezinhos/pãezinhos","refrigerante"," goma de mascar"," sacolas de compras","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" cerveja em lata","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" cerveja em lata","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" cerveja em lata","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" Leite UHT","refrigerante"," detergente","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" citrino"," fruta pipa"," outros vegetais"," leite inteiro"," coalhada"," peixe congelado"," ovos domésticos"," geléia"," pratos","","","","","","","","","","","","","","","","","","","","","","",""
" leite inteiro"," cerveja engarrafada"," licor (aperitivo)"," artigos de higiene","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" citrino","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" cerveja em lata","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" sobremesa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" presunto"," leite inteiro"," sobremesa"," pãezinhos/pãezinhos"," diversos. bebidas"," waffles"," cuidados com a pele","","","","","","","","","","","","","","","","","","","","","","","","",""
" carne"," pãezinhos/pãezinhos"," diversos. bebidas","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" fruta pipa"," pãezinhos/pãezinhos"," salgadinhos","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" Leite UHT"," ovos domésticos"," pãezinhos/pãezinhos"," suco de frutas/vegetais"," jornais","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" cerveja em lata","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" outros vegetais"," leite inteiro"," Soro de leite coalhado"," Margarina","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" leite inteiro"," Soro de leite coalhado"," Requeijão cremoso"," café","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" salsicha"," fruta pipa"," vegetais de raiz"," leite inteiro"," barrar queijo"," pãezinhos/pãezinhos"," Margarina"," água engarrafada","","","","","","","","","","","","","","","","","","","","","","","",""
" cerveja em lata","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" iogurte"," pãezinhos/pãezinhos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" vegetais de raiz"," Leite UHT"," ovos domésticos"," massa"," Margarina"," sopas"," comida de gato"," café"," água engarrafada","refrigerante"," diversos. bebidas"," espumante"," chocolate especial"," barra de especialidades"," produtos sazonais"," produtos sanitários femininos"," jornais","","","","","","","","","","","","","","",""
" cerveja engarrafada","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" cerveja em lata"," sacolas de compras","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" carne de porco"," fruta tropical"," fruta pipa"," outros vegetais"," chantilly/creme de leite"," chocolate"," marshmallow de chocolate"," sacolas de compras","","","","","","","","","","","","","","","","","","","","","","","",""
" cerveja em lata","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" fruta pipa","refrigerante","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" carne"," carne de porco"," queijo macio"," óleo"," Margarina"," produtos sazonais","","","","","","","","","","","","","","","","","","","","","","","","","",""
" carne de porco"," fruta pipa"," vegetais congelados"," pão integral","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" outros vegetais"," leite inteiro"," maionese"," produtos de batata congelados"," pastelaria"," Margarina"," fermento em pó","","","","","","","","","","","","","","","","","","","","","","","","",""
" leite inteiro"," ovos domésticos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" salsicha"," água engarrafada","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" diversos. bebidas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" água engarrafada"," jornais","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" carne bovina"," fruta pipa"," leite inteiro"," manteiga"," coalhada"," iogurte"," Leite condensado"," pão branco"," detergente","","","","","","","","","","","","","","","","","","","","","","",""
" fruta tropical"," água engarrafada"," vinho branco"," jornais","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" pãezinhos/pãezinhos"," pão integral","refrigerante"," diversos. bebidas"," cerveja engarrafada","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" cerveja em lata","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" salsicha"," outros vegetais"," iogurte"," pãezinhos/pãezinhos","refrigerante"," cerveja em lata","","","","","","","","","","","","","","","","","","","","","","","","","",""
" queijo fatiado"," ovos domésticos"," pãezinhos/pãezinhos"," água engarrafada","refrigerante"," vasos de plantas","","","","","","","","","","","","","","","","","","","","","","","","","",""
" carne de porco"," outros vegetais"," leite inteiro"," Requeijão cremoso"," peixe congelado"," pãezinhos/pãezinhos"," pastelaria","","","","","","","","","","","","","","","","","","","","","","","","",""
"refrigerante","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" pãezinhos/pãezinhos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"refrigerante"," cerveja engarrafada","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" chocolate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" presunto"," peru"," vegetais congelados"," pastelaria","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" outros vegetais"," leite inteiro"," Margarina"," geléia"," lanche salgado"," sacolas de compras","","","","","","","","","","","","","","","","","","","","","","","","","",""
" cerveja em lata","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" cerveja em lata","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" cerveja em lata","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" fruta tropical"," fruta pipa"," vegetais de raiz"," outros vegetais"," leite inteiro"," coalhada"," iogurte"," chá"," água engarrafada"," lanche salgado"," toalhas de cozinha"," jornais","","","","","","","","","","","","","","","","","","","",""
" fruta tropical"," leite inteiro"," bebidas","refrigerante"," lanche salgado"," barra de especialidades"," jornais","","","","","","","","","","","","","","","","","","","","","","","","",""
" cerveja em lata"," waffles","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" cerveja em lata"," barra de especialidades","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" água engarrafada","refrigerante","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" Frankfurt"," carne de hambúrguer"," uvas"," outros vegetais"," leite inteiro"," Soro de leite coalhado"," chantilly/creme de leite"," maionese"," pão branco"," produtos em rolo"," molhos"," lanche salgado"," waffles"," chocolate","","","","","","","","","","","","","","","","","",""
" fruta tropical"," vegetais de raiz"," cebola"," outros vegetais"," coalhada"," chantilly/creme de leite"," barrar queijo"," pão branco"," água engarrafada","refrigerante","","","","","","","","","","","","","","","","","","","","","",""
" pão de fígado"," outros vegetais"," manteiga"," iogurte"," chantilly/creme de leite"," Requeijão cremoso"," Margarina"," fermento em pó"," produto de panificação longa vida"," limpador de banheiro","","","","","","","","","","","","","","","","","","","","","",""
" sacolas de compras","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
